SDKResource,Name
aws_redshiftserverless_usage_limit,
aws_servicecatalog_product,Product
aws_lightsail_static_ip_attachment,
aws_resourcegroups_resource,Resource
aws_secretsmanager_secret_version,
aws_servicecatalog_principal_portfolio_association,
aws_apigatewayv2_integration_response,
aws_vpc_ipam_organization_admin_account,
aws_db_proxy_endpoint,DB Proxy Endpoint
aws_lightsail_bucket,Bucket
aws_organizations_organization,
aws_s3control_multi_region_access_point,
aws_workspaces_workspace,Workspace
aws_account_primary_contact,
aws_guardduty_threatintelset,Threat Intel Set
aws_lightsail_instance_public_ports,
aws_waf_rule,Rule
aws_schemas_registry,Registry
aws_api_gateway_deployment,
aws_api_gateway_domain_name,Domain Name
aws_appmesh_gateway_route,Gateway Route
aws_glue_workflow,Workflow
aws_ivs_playback_key_pair,Playback Key Pair
aws_redshift_subnet_group,Subnet Group
aws_db_snapshot,DB Snapshot
aws_cloudhsm_v2_cluster,Cluster
aws_ec2_instance_state,
aws_efs_mount_target,
aws_cloudwatch_log_resource_policy,
aws_networkmanager_transit_gateway_registration,
aws_opsworks_ganglia_layer,Ganglia Layer
aws_comprehend_entity_recognizer,Entity Recognizer
aws_network_interface,Network Interface
aws_organizations_account,Account
aws_db_instance_automated_backups_replication,
aws_s3control_multi_region_access_point_policy,
aws_dx_hosted_transit_virtual_interface_accepter,Hosted Transit Virtual Interface
aws_ecs_service,Service
aws_alb_listener,Listener
aws_iot_thing_group,Thing Group
aws_scheduler_schedule_group,Schedule Group
aws_detective_invitation_accepter,
aws_sagemaker_servicecatalog_portfolio_status,
aws_securityhub_action_target,
aws_sns_topic_data_protection_policy,
aws_controltower_control,
aws_devicefarm_upload,
aws_grafana_workspace_saml_configuration,
aws_guardduty_organization_admin_account,
aws_datasync_location_fsx_openzfs_file_system,Location OpenZFS File System
aws_api_gateway_rest_api,REST API
aws_chime_voice_connector_streaming,
aws_codebuild_project,Project
aws_glue_schema,Schema
aws_ssm_service_setting,
aws_cognito_identity_pool,Pool
aws_sagemaker_flow_definition,Flow Definition
aws_sns_platform_application,
aws_storagegateway_working_storage,
aws_worklink_fleet,
aws_account_alternate_contact,
aws_config_organization_custom_policy_rule,
aws_ec2_client_vpn_endpoint,Client VPN Endpoint
aws_medialive_input_security_group,Input Security Group
aws_connect_hours_of_operation,Hours Of Operation
aws_dynamodb_table_item,
aws_elasticache_parameter_group,Parameter Group
aws_guardduty_ipset,IP Set
aws_vpc_ipam_pool,IPAM Pool
aws_lakeformation_lf_tag,
aws_lightsail_lb_certificate_attachment,
aws_ssoadmin_permissions_boundary_attachment,
aws_api_gateway_stage,Stage
aws_ec2_client_vpn_authorization_rule,
aws_ivs_recording_configuration,Recording Configuration
aws_rolesanywhere_profile,Profile
aws_ses_receipt_rule_set,
aws_waf_geo_match_set,
aws_docdb_event_subscription,Event Subscription
aws_route_table,Route Table
aws_elastictranscoder_preset,
aws_glacier_vault_lock,
aws_dynamodb_tag,
aws_iam_policy_attachment,
aws_iot_thing_principal_attachment,
aws_accessanalyzer_analyzer,Analyzer
aws_codebuild_resource_policy,
aws_ram_resource_association,
aws_ssm_patch_group,
aws_ec2_availability_zone_group,
aws_route53_hosted_zone_dnssec,
aws_dx_connection,Connection
aws_emr_security_configuration,
aws_cloudwatch_event_target,
aws_imagebuilder_component,Component
aws_lakeformation_resource,
aws_acm_certificate,Certificate
aws_appstream_fleet,Fleet
aws_appstream_user,
aws_chime_voice_connector_origination,
aws_dx_connection_association,
aws_iam_role,Role
aws_sagemaker_image_version,
aws_securityhub_member,
aws_iot_provisioning_template,Provisioning Template
aws_athena_database,
aws_autoscaling_traffic_source_attachment,
aws_codestarconnections_host,
aws_datasync_agent,Agent
aws_ebs_default_kms_key,
aws_emr_managed_scaling_policy,
aws_appsync_resolver,
